"Plot Title: 11"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20254718, SEN S/N: 20254718)","Intensity, Lux (LGR S/N: 20254718, SEN S/N: 20254718)","Coupler Attached (LGR S/N: 20254718)","Host Connected (LGR S/N: 20254718)","Stopped (LGR S/N: 20254718)","End Of File (LGR S/N: 20254718)"
105,05/27/18 03:20:00 AM,23.869,0.0,,,,
106,05/27/18 03:30:00 AM,23.869,0.0,,,,
107,05/27/18 03:40:00 AM,23.869,0.0,,,,
108,05/27/18 03:50:00 AM,23.773,0.0,,,,
109,05/27/18 04:00:00 AM,23.773,0.0,,,,
110,05/27/18 04:10:00 AM,23.773,0.0,,,,
111,05/27/18 04:20:00 AM,23.773,0.0,,,,
112,05/27/18 04:30:00 AM,23.773,0.0,,,,
113,05/27/18 04:40:00 AM,23.677,0.0,,,,
114,05/27/18 04:50:00 AM,23.677,0.0,,,,
115,05/27/18 05:00:00 AM,23.677,0.0,,,,
116,05/27/18 05:10:00 AM,23.677,0.0,,,,
117,05/27/18 05:20:00 AM,23.677,0.0,,,,
118,05/27/18 05:30:00 AM,23.677,0.0,,,,
119,05/27/18 05:40:00 AM,23.677,0.0,,,,
120,05/27/18 05:50:00 AM,23.677,0.0,,,,
121,05/27/18 06:00:00 AM,23.677,0.0,,,,
122,05/27/18 06:10:00 AM,23.677,0.0,,,,
123,05/27/18 06:20:00 AM,23.677,0.0,,,,
124,05/27/18 06:30:00 AM,23.773,0.0,,,,
125,05/27/18 06:40:00 AM,23.773,0.0,,,,
126,05/27/18 06:50:00 AM,23.773,0.0,,,,
127,05/27/18 07:00:00 AM,23.869,0.0,,,,
128,05/27/18 07:10:00 AM,23.966,0.0,,,,
129,05/27/18 07:20:00 AM,24.062,0.0,,,,
130,05/27/18 07:30:00 AM,24.158,0.0,,,,
131,05/27/18 07:40:00 AM,24.351,0.0,,,,
132,05/27/18 07:50:00 AM,24.545,0.0,,,,
133,05/27/18 08:00:00 AM,25.028,32.3,,,,
134,05/27/18 08:10:00 AM,26.488,0.0,,,,
135,05/27/18 08:20:00 AM,28.555,21.5,,,,
136,05/27/18 08:30:00 AM,30.356,32.3,,,,
137,05/27/18 08:40:00 AM,31.880,21.5,,,,
138,05/27/18 08:50:00 AM,32.911,10.8,,,,
139,05/27/18 09:00:00 AM,34.268,15155.7,,,,
140,05/27/18 09:10:00 AM,34.796,4650.0,,,,
141,05/27/18 09:20:00 AM,35.756,18600.1,,,,
142,05/27/18 09:30:00 AM,37.604,22044.6,,,,
143,05/27/18 09:40:00 AM,39.729,27555.7,,,,
144,05/27/18 09:50:00 AM,41.575,10333.4,,,,
145,05/27/18 10:00:00 AM,39.276,10333.4,,,,
146,05/27/18 10:10:00 AM,37.935,10333.4,,,,
147,05/27/18 10:20:00 AM,37.604,9644.5,,,,
148,05/27/18 10:30:00 AM,37.935,9644.5,,,,
149,05/27/18 10:40:00 AM,38.046,9300.1,,,,
150,05/27/18 10:50:00 AM,38.490,9300.1,,,,
151,05/27/18 11:00:00 AM,38.826,9300.1,,,,
152,05/27/18 11:10:00 AM,38.714,9644.5,,,,
153,05/27/18 11:20:00 AM,38.938,9300.1,,,,
154,05/27/18 11:30:00 AM,37.604,8611.2,,,,
155,05/27/18 11:40:00 AM,36.946,6200.0,,,,
156,05/27/18 11:50:00 AM,37.384,0.0,,,,
157,05/27/18 12:00:00 PM,39.502,0.0,,,,
158,05/27/18 12:10:00 PM,40.071,0.0,,,,
159,05/27/18 12:20:00 PM,40.071,0.0,,,,
160,05/27/18 12:30:00 PM,39.729,0.0,,,,
161,05/27/18 12:40:00 PM,39.276,0.0,,,,
162,05/27/18 12:50:00 PM,38.938,0.0,,,,
163,05/27/18 01:00:00 PM,38.490,0.0,,,,
164,05/27/18 01:10:00 PM,38.046,0.0,,,,
165,05/27/18 01:20:00 PM,37.604,0.0,,,,
166,05/27/18 01:30:00 PM,37.165,0.0,,,,
167,05/27/18 01:40:00 PM,36.837,0.0,,,,
168,05/27/18 01:50:00 PM,36.511,0.0,,,,
169,05/27/18 02:00:00 PM,36.295,0.0,,,,
170,05/27/18 02:10:00 PM,36.079,0.0,,,,
171,05/27/18 02:20:00 PM,35.864,0.0,,,,
172,05/27/18 02:30:00 PM,35.542,0.0,,,,
173,05/27/18 02:40:00 PM,35.328,0.0,,,,
174,05/27/18 02:50:00 PM,35.115,0.0,,,,
175,05/27/18 03:00:00 PM,35.009,0.0,,,,
176,05/27/18 03:10:00 PM,34.796,0.0,,,,
