"Plot Title: 7_20136761"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20136761, SEN S/N: 20136761)","Max: Temperature, °C (LGR S/N: 20136761)","Min: Temperature, °C (LGR S/N: 20136761)","Avg: Temperature, °C (LGR S/N: 20136761)","Avg: Temperature, °C (LGR S/N: 20136761)","Coupler Attached (LGR S/N: 20136761)","Host Connected (LGR S/N: 20136761)","Stopped (LGR S/N: 20136761)","End Of File (LGR S/N: 20136761)"
1,05/26/18 12:00:00 AM,,29.352,22.621,26.865,,,,,
2,05/26/18 10:00:00 AM,28.159,,,,28.390,,,,
3,05/26/18 10:10:00 AM,28.258,,,,,,,,
4,05/26/18 10:20:00 AM,28.357,,,,,,,,
5,05/26/18 10:30:00 AM,28.456,,,,,,,,
6,05/26/18 10:40:00 AM,28.555,,,,,,,,
7,05/26/18 10:50:00 AM,28.555,,,,,,,,
8,05/26/18 11:00:00 AM,28.655,,,,28.820,,,,
9,05/26/18 11:10:00 AM,28.754,,,,,,,,
10,05/26/18 11:20:00 AM,28.754,,,,,,,,
11,05/26/18 11:30:00 AM,28.853,,,,,,,,
12,05/26/18 11:40:00 AM,28.953,,,,,,,,
13,05/26/18 11:50:00 AM,28.953,,,,,,,,
14,05/26/18 12:00:00 PM,29.053,,,,29.169,,,,
15,05/26/18 12:10:00 PM,29.152,,,,,,,,
16,05/26/18 12:20:00 PM,29.152,,,,,,,,
17,05/26/18 12:30:00 PM,29.152,,,,,,,,
18,05/26/18 12:40:00 PM,29.252,,,,,,,,
19,05/26/18 12:50:00 PM,29.252,,,,,,,,
20,05/26/18 01:00:00 PM,29.252,,,,29.302,,,,
21,05/26/18 01:10:00 PM,29.252,,,,,,,,
22,05/26/18 01:20:00 PM,29.252,,,,,,,,
23,05/26/18 01:30:00 PM,29.352,,,,,,,,
24,05/26/18 01:40:00 PM,29.352,,,,,,,,
25,05/26/18 01:50:00 PM,29.352,,,,,,,,
26,05/26/18 02:00:00 PM,29.352,,,,29.319,,,,
27,05/26/18 02:10:00 PM,29.352,,,,,,,,
28,05/26/18 02:20:00 PM,29.352,,,,,,,,
29,05/26/18 02:30:00 PM,29.352,,,,,,,,
30,05/26/18 02:40:00 PM,29.252,,,,,,,,
