"Plot Title: 10_20136770"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20136770, SEN S/N: 20136770)","Max: Temperature, °C (LGR S/N: 20136770)","Min: Temperature, °C (LGR S/N: 20136770)","Avg: Temperature, °C (LGR S/N: 20136770)","Avg: Temperature, °C (LGR S/N: 20136770)","Coupler Attached (LGR S/N: 20136770)","Host Connected (LGR S/N: 20136770)","Stopped (LGR S/N: 20136770)","End Of File (LGR S/N: 20136770)"
1,05/26/18 12:00:00 AM,,30.054,24.641,27.673,,,,,
2,05/26/18 10:00:00 AM,28.754,,,,29.003,,,,
3,05/26/18 10:10:00 AM,28.853,,,,,,,,
4,05/26/18 10:20:00 AM,28.953,,,,,,,,
5,05/26/18 10:30:00 AM,29.053,,,,,,,,
6,05/26/18 10:40:00 AM,29.152,,,,,,,,
7,05/26/18 10:50:00 AM,29.252,,,,,,,,
8,05/26/18 11:00:00 AM,29.352,,,,29.569,,,,
9,05/26/18 11:10:00 AM,29.452,,,,,,,,
10,05/26/18 11:20:00 AM,29.552,,,,,,,,
11,05/26/18 11:30:00 AM,29.652,,,,,,,,
12,05/26/18 11:40:00 AM,29.652,,,,,,,,
13,05/26/18 11:50:00 AM,29.752,,,,,,,,
14,05/26/18 12:00:00 PM,29.853,,,,29.920,,,,
15,05/26/18 12:10:00 PM,29.853,,,,,,,,
16,05/26/18 12:20:00 PM,29.953,,,,,,,,
17,05/26/18 12:30:00 PM,29.953,,,,,,,,
18,05/26/18 12:40:00 PM,29.953,,,,,,,,
19,05/26/18 12:50:00 PM,29.953,,,,,,,,
20,05/26/18 01:00:00 PM,29.953,,,,30.020,,,,
21,05/26/18 01:10:00 PM,29.953,,,,,,,,
22,05/26/18 01:20:00 PM,30.054,,,,,,,,
23,05/26/18 01:30:00 PM,30.054,,,,,,,,
24,05/26/18 01:40:00 PM,30.054,,,,,,,,
25,05/26/18 01:50:00 PM,30.054,,,,,,,,
26,05/26/18 02:00:00 PM,29.953,,,,29.819,,,,
27,05/26/18 02:10:00 PM,29.953,,,,,,,,
28,05/26/18 02:20:00 PM,29.853,,,,,,,,
29,05/26/18 02:30:00 PM,29.752,,,,,,,,
30,05/26/18 02:40:00 PM,29.752,,,,,,,,
31,05/26/18 02:50:00 PM,29.652,,,,,,,,
32,05/26/18 03:00:00 PM,29.552,,,,29.269,,,,
33,05/26/18 03:10:00 PM,29.452,,,,,,,,
34,05/26/18 03:20:00 PM,29.352,,,,,,,,
35,05/26/18 03:30:00 PM,29.252,,,,,,,,
36,05/26/18 03:40:00 PM,29.053,,,,,,,,
37,05/26/18 03:50:00 PM,28.953,,,,,,,,
38,05/26/18 04:00:00 PM,28.853,,,,28.506,,,,
39,05/26/18 04:10:00 PM,28.655,,,,,,,,
40,05/26/18 04:20:00 PM,28.555,,,,,,,,
41,05/26/18 04:30:00 PM,28.456,,,,,,,,
42,05/26/18 04:40:00 PM,28.357,,,,,,,,
43,05/26/18 04:50:00 PM,28.159,,,,,,,,
44,05/26/18 05:00:00 PM,28.060,,,,27.813,,,,
45,05/26/18 05:10:00 PM,27.961,,,,,,,,
46,05/26/18 05:20:00 PM,27.862,,,,,,,,
47,05/26/18 05:30:00 PM,27.764,,,,,,,,
48,05/26/18 05:40:00 PM,27.665,,,,,,,,
49,05/26/18 05:50:00 PM,27.567,,,,,,,,
50,05/26/18 06:00:00 PM,27.468,,,,27.272,,,,
51,05/26/18 06:10:00 PM,27.370,,,,,,,,
52,05/26/18 06:20:00 PM,27.272,,,,,,,,
53,05/26/18 06:30:00 PM,27.272,,,,,,,,
54,05/26/18 06:40:00 PM,27.173,,,,,,,,
55,05/26/18 06:50:00 PM,27.075,,,,,,,,
56,05/26/18 07:00:00 PM,27.075,,,,26.342,,,,
57,05/26/18 07:10:00 PM,26.879,,,,,,,,
58,05/26/18 07:20:00 PM,26.390,,,,,,,,
59,05/26/18 07:30:00 PM,26.097,,,,,,,,
60,05/26/18 07:40:00 PM,25.902,,,,,,,,
61,05/26/18 07:50:00 PM,25.708,,,,,,,,
62,05/26/18 08:00:00 PM,25.513,,,,25.254,,,,
