logger_num,date_time,temp_C,rh_%,dewpt_C
1,5/26/18 14:36,29.54,79.489,25.669
1,5/26/18 14:39,29.59,80.87,25.987
1,5/26/18 14:42,29.615,81.775,26.185
1,5/26/18 14:45,29.59,80.724,25.959
1,5/26/18 14:48,29.515,80.97,25.933
1,5/26/18 14:51,29.439,81.186,25.901
1,5/26/18 14:54,29.389,80.537,25.727
1,5/26/18 14:57,29.34,81.948,25.949
1,5/26/18 15:00,29.315,82,25.934
1,5/26/18 15:03,29.29,82.053,25.92
1,5/26/18 15:06,29.29,82.486,26.002
1,5/26/18 15:09,29.29,82.341,25.975
1,5/26/18 15:12,29.315,82.202,25.973
1,5/26/18 15:15,29.315,81.884,25.912
1,5/26/18 15:18,29.315,81.826,25.901
1,5/26/18 15:21,29.29,81.734,25.859
1,5/26/18 15:24,29.29,81.561,25.826
1,5/26/18 15:27,29.29,81.416,25.798
1,5/26/18 15:30,29.265,81.439,25.778
1,5/26/18 15:33,29.24,81.579,25.781
1,5/26/18 15:36,29.215,81.747,25.788
1,5/26/18 15:39,29.19,81.626,25.741
1,5/26/18 15:42,29.165,81.621,25.715
1,5/26/18 15:45,29.115,81.726,25.687
1,5/26/18 15:48,29.09,81.836,25.683
1,5/26/18 15:51,29.04,81.97,25.66
1,5/26/18 15:54,28.99,81.96,25.609
1,5/26/18 15:57,28.941,81.949,25.558
1,5/26/18 16:00,28.891,81.302,25.386
1,5/26/18 16:03,28.816,80.765,25.21
1,5/26/18 16:06,28.717,80.831,25.126
1,5/26/18 16:09,28.667,81.89,25.279
1,5/26/18 16:12,28.642,81.972,25.27
1,5/26/18 16:15,28.617,81.938,25.239
1,5/26/18 16:18,28.593,81.932,25.214
1,5/26/18 16:21,28.568,81.869,25.178
1,5/26/18 16:24,28.543,81.864,25.153
1,5/26/18 16:27,28.493,81.767,25.086
1,5/26/18 16:30,28.468,81.675,25.044
1,5/26/18 16:33,28.419,81.664,24.993
1,5/26/18 16:36,28.369,81.711,24.954
1,5/26/18 16:39,28.32,81.903,24.941
1,5/26/18 16:42,28.27,82.065,24.923
1,5/26/18 16:45,28.196,82.251,24.886
1,5/26/18 16:48,28.147,82.499,24.884
1,5/26/18 16:51,28.097,82.66,24.865
1,5/26/18 16:54,28.048,82.851,24.852
1,5/26/18 16:57,27.998,83.012,24.834
1,5/26/18 17:00,27.949,83.145,24.81
1,5/26/18 17:03,27.924,83.254,24.806
1,5/26/18 17:06,27.875,83.443,24.792
1,5/26/18 17:09,27.85,83.581,24.793
1,5/26/18 17:12,27.801,83.713,24.769
1,5/26/18 17:15,27.776,83.85,24.77
1,5/26/18 17:18,27.751,83.902,24.755
